# Lower
# cube 1 at (0, 0, 0)
(0, 0, 0), (1, 0, 0), (1, 0, 1), (0, 0, 1) # bottom
(0, 1, 0), (1, 1, 0), (1, 1, 1), (0, 1, 1) # top
(0, 0, 0), (1, 0, 0), (1, 1, 0), (0, 1, 0) # x wall
(0, 0, 0), (0, 0, 1), (0, 1, 1), (0, 1, 0) # z wall
(0, 0, 1), (1, 0, 1), (1, 1, 1), (0, 1, 1) # x wall far
(1, 0, 0), (1, 0, 1), (1, 1, 1), (1, 1, 0) # z wall far
# cube 2 at (2, 0, 0)
(2, 0, 0), (3, 0, 0), (3, 0, 1), (2, 0, 1) # bottom
(2, 1, 0), (3, 1, 0), (3, 1, 1), (2, 1, 1) # top
(2, 0, 0), (3, 0, 0), (3, 1, 0), (2, 1, 0) # x wall
(2, 0, 0), (2, 0, 1), (2, 1, 1), (2, 1, 0) # z wall
(2, 0, 1), (3, 0, 1), (3, 1, 1), (2, 1, 1) # x wall far
(3, 0, 0), (3, 0, 1), (3, 1, 1), (3, 1, 0) # z wall far
# cube 3 at (0, 2, 0)
(0, 2, 0), (1, 2, 0), (1, 2, 1), (0, 2, 1) # bottom
(0, 3, 0), (1, 3, 0), (1, 3, 1), (0, 3, 1) # top
(0, 2, 0), (1, 2, 0), (1, 3, 0), (0, 3, 0) # x wall
(0, 2, 0), (0, 2, 1), (0, 3, 1), (0, 3, 0) # z wall
(0, 2, 1), (1, 2, 1), (1, 3, 1), (0, 3, 1) # x wall far
(1, 2, 0), (1, 2, 1), (1, 3, 1), (1, 3, 0) # z wall far
# cube 4 at (2, 2, 0)
(2, 2, 0), (3, 2, 0), (3, 2, 1), (2, 2, 1) # bottom
(2, 3, 0), (3, 3, 0), (3, 3, 1), (2, 3, 1) # top
(2, 2, 0), (3, 2, 0), (3, 3, 0), (2, 3, 0) # x wall
(2, 2, 0), (2, 2, 1), (2, 3, 1), (2, 3, 0) # z wall
(2, 2, 1), (3, 2, 1), (3, 3, 1), (2, 3, 1) # x wall far
(3, 2, 0), (3, 2, 1), (3, 3, 1), (3, 3, 0) # z wall far
# Upper
# cube 1 at (0, 0, 0)
(0, 0, 2), (1, 0, 2), (1, 0, 3), (0, 0, 3) # bottom
(0, 1, 2), (1, 1, 2), (1, 1, 3), (0, 1, 3) # top
(0, 0, 2), (1, 0, 2), (1, 1, 2), (0, 1, 2) # x wall
(0, 0, 2), (0, 0, 3), (0, 1, 3), (0, 1, 2) # z wall
(0, 0, 3), (1, 0, 3), (1, 1, 3), (0, 1, 3) # x wall far
(1, 0, 2), (1, 0, 3), (1, 1, 3), (1, 1, 2) # z wall far
# cube 2 at (2, 0, 0)
(2, 0, 2), (3, 0, 2), (3, 0, 3), (2, 0, 3) # bottom
(2, 1, 2), (3, 1, 2), (3, 1, 3), (2, 1, 3) # top
(2, 0, 2), (3, 0, 2), (3, 1, 2), (2, 1, 2) # x wall
(2, 0, 2), (2, 0, 3), (2, 1, 3), (2, 1, 2) # z wall
(2, 0, 3), (3, 0, 3), (3, 1, 3), (2, 1, 3) # x wall far
(3, 0, 2), (3, 0, 3), (3, 1, 3), (3, 1, 2) # z wall far
# cube 3 at (0, 2, 0)
(0, 2, 2), (1, 2, 2), (1, 2, 3), (0, 2, 3) # bottom
(0, 3, 2), (1, 3, 2), (1, 3, 3), (0, 3, 3) # top
(0, 2, 2), (1, 2, 2), (1, 3, 2), (0, 3, 2) # x wall
(0, 2, 2), (0, 2, 3), (0, 3, 3), (0, 3, 2) # z wall
(0, 2, 3), (1, 2, 3), (1, 3, 3), (0, 3, 3) # x wall far
(1, 2, 2), (1, 2, 3), (1, 3, 3), (1, 3, 2) # z wall far
# cube 4 at (2, 2, 0)
(2, 2, 2), (3, 2, 2), (3, 2, 3), (2, 2, 3) # bottom
(2, 3, 2), (3, 3, 2), (3, 3, 3), (2, 3, 3) # top
(2, 2, 2), (3, 2, 2), (3, 3, 2), (2, 3, 2) # x wall
(2, 2, 2), (2, 2, 3), (2, 3, 3), (2, 3, 2) # z wall
(2, 2, 3), (3, 2, 3), (3, 3, 3), (2, 3, 3) # x wall far
(3, 2, 2), (3, 2, 3), (3, 3, 3), (3, 3, 2) # z wall far
