# Lower
# cube 1 at (0, 0, 0)
(0, 0, 0), (1, 0, 0), (1, 0, 1), (0, 0, 1) # bottom
(0, 1, 0), (1, 1, 0), (1, 1, 1), (0, 1, 1) # top
(0, 0, 0), (1, 0, 0), (1, 1, 0), (0, 1, 0) # x wall
(0, 0, 0), (0, 0, 1), (0, 1, 1), (0, 1, 0) # z wall
(0, 0, 1), (1, 0, 1), (1, 1, 1), (0, 1, 1) # x wall far
(1, 0, 0), (1, 0, 1), (1, 1, 1), (1, 1, 0) # z wall far
# cube 2 at (2, -0.5, 0)
(2, -0.5, 0), (3, -0.5, 0), (3, -0.5, 1), (2, -0.5, 1)  # bottom
(2, 0.5, 0), (3, 0.5, 0), (3, 0.5, 1), (2, 0.5, 1)  # top
(2, -0.5, 0), (3, -0.5, 0), (3, 0.5, 0), (2, 0.5, 0)  # x wall
(2, -0.5, 0), (2, -0.5, 1), (2, 0.5, 1), (2, 0.5, 0)  # z wall
(2, -0.5, 1), (3, -0.5, 1), (3, 0.5, 1), (2, 0.5, 1)  # x wall far
(3, -0.5, 0), (3, -0.5, 1), (3, 0.5, 1), (3, 0.5, 0)  # z wall far
